deal_name,current_cdu_date,prior_cdu_date,current_balance,prior_balance,deal_update_status,deal_status
FHMT0603,20180525,20180425,0.0,0.0,Called,Paid Down
WMS04S01,20180525,20180425,16135031.309999032,16599970.839999784,Updated,Outstanding
WFM08AR2,20180525,20180425,19980030.35,20034910.189999092,Updated,Outstanding
TMT0513S,20180525,20180425,0.016773817,0.016769549,Updated,Paid Down
SURF06B4,20180525,20180425,153746775.05,154675486.27,Updated,Outstanding
SAS05010,20180525,20180425,129110857.33000393,131071836.30999832,Updated,Outstanding
SAS05AR1,20180525,20180425,97871325.54000172,98696467.31,Updated,Outstanding
RFC07QH9,20180525,20180425,119409939.29999615,120416020.98999478,Updated,Outstanding
CHT06NC1,20180515,20180415,0.0,0.0,Called,Paid Down
SAR043AC,20180525,20180425,0.0,0.0,Called,Paid Down
